person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,0.42,Y,3
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0.13,N,3
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,0.5,N,3
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,0.35,Y,2
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,0.17,N,3
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0.27,N,2
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,0.33,Y,3
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0.08,N,3
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0.03,N,4
26,60000,MORTGAGE,3.0,PERSONAL,C,30000,14.27,0.5,Y,3
26,70000,MORTGAGE,0.0,HOMEIMPROVEMENT,D,8000,14.84,0.11,N,3
22,35000,RENT,1.0,DEBTCONSOLIDATION,B,8000,9.2,0.23,N,4
25,72000,RENT,2.0,MEDICAL,B,10000,10.37,0.14,N,4
21,31200,RENT,1.0,EDUCATION,D,6000,16.89,0.19,Y,4
24,65000,RENT,1.0,MEDICAL,B,6400,9.99,0.1,N,3
26,51600,RENT,10.0,EDUCATION,B,14000,10.37,0.27,N,2
23,70550,RENT,0.0,MEDICAL,E,14000,17.51,0.17,Y,2
26,63000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,3500,7.68,0.06,N,4
22,72000,MORTGAGE,3.0,EDUCATION,B,5000,,0.07,N,3
24,75000,MORTGAGE,,PERSONAL,A,7000,7.66,0.09,N,3
21,102000,RENT,5.0,VENTURE,D,10000,,0.1,Y,3
25,86004,RENT,1.0,PERSONAL,C,15000,12.53,0.17,N,4
25,42000,RENT,4.0,VENTURE,A,1925,6.17,0.05,N,2
23,58000,MORTGAGE,8.0,VENTURE,C,8000,13.61,0.14,Y,4
25,82000,RENT,2.0,PERSONAL,A,9200,6.03,0.11,N,3
22,30000,RENT,0.0,EDUCATION,C,6300,13.22,0.21,Y,3
26,117000,MORTGAGE,4.0,VENTURE,A,14400,,0.12,N,4
26,92040,MORTGAGE,6.0,VENTURE,A,10000,,0.11,N,3
